Date,CIPLA,HUL,INFY,RIL
03-07-2019,542.985046,1680.079102,669.596436,1250.980469
04-07-2019,541.31665,1688.457397,671.885376,1252.394775
05-07-2019,539.79541,1686.386475,657.41864,1232.253174
08-07-2019,528.459717,1650.755493,657.052368,1221.231201
09-07-2019,538.617676,1638.234985,655.129517,1248.59082
10-07-2019,534.839111,1617.853882,656.731873,1247.37146
11-07-2019,542.150818,1629.432983,660.623291,1250.005127
12-07-2019,546.469177,1612.770508,665.430359,1248.980835
15-07-2019,540.335205,1616.300781,713.592163,1244.689331
16-07-2019,543.279541,1639.223389,718.628113,1261.17334
17-07-2019,547.205261,1657.486084,727.143494,1250.297729
18-07-2019,536.851074,1637.199463,725.815735,1230.790039
19-07-2019,526.742126,1619.548584,719.131653,1218.256104
22-07-2019,521.098816,1582.175903,718.216125,1248.980835
23-07-2019,519.086975,1594.084229,723.389343,1242.202148
24-07-2019,509.125214,1627.314819,719.955688,1228.107666
25-07-2019,526.693115,1634.846069,727.463928,1201.187134
26-07-2019,522.227478,1629.197754,720.59668,1183.922852
29-07-2019,512.560242,1612.864746,724.671204,1181.142944
30-07-2019,510.35199,1619.078003,725.815735,1151.832642
31-07-2019,514.399231,1625.432251,726.685608,1137.543213
01-08-2019,505.860535,1629.809692,703.978088,1151.198486
02-08-2019,509.463562,1635.598999,710.158508,1161.594849
05-08-2019,512.2276,1639.129028,711.165894,1121.382568
06-08-2019,493.718658,1641.859253,709.105591,1106.621826
07-08-2019,511.635254,1673.065796,710.616394,1088.084961
08-08-2019,496.58136,1697.400513,722.199036,1130.209717
09-08-2019,478.269928,1733.408325,723.206299,1139.772339
13-08-2019,469.632416,1717.781494,700.22406,1250.258179
14-08-2019,472.149658,1731.243286,709.426086,1263.498657
16-08-2019,469.977936,1721.452881,709.197144,1253.445679
19-08-2019,469.731171,1714.157104,712.035706,1267.765137
20-08-2019,472.544525,1735.338135,725.861572,1251.434937
21-08-2019,462.031433,1741.55127,731.996338,1246.531006
22-08-2019,458.033539,1762.355957,728.562622,1222.796021
23-08-2019,459.909088,1750.965088,734.514282,1251.336792
26-08-2019,460.55072,1766.544922,734.834656,1242.460815
27-08-2019,459.36618,1752.283203,718.445068,1250.356079
28-08-2019,458.280304,1720.935181,734.788879,1239.027954
29-08-2019,459.218079,1725.500854,738.863464,1217.891968
30-08-2019,466.374878,1771.581177,746.1427,1224.561401
03-09-2019,463.512146,1733.879028,745.547607,1183.221313
04-09-2019,465.338379,1738.350464,752.002625,1178.072144
05-09-2019,472.248352,1722.488281,763.676819,1175.571167
06-09-2019,468.793335,1712.509766,769.262146,1199.011963
09-09-2019,468.892059,1726.536377,759.14447,1198.717651
11-09-2019,465.733215,1717.35791,750.903931,1210.68335
12-09-2019,461.784668,1699.565796,747.516113,1187.095337
13-09-2019,462.969238,1699.707031,759.327576,1202.052368
16-09-2019,464.449921,1709.826782,757.862671,1187.487793
17-09-2019,454.726593,1723.853271,761.113159,1174.443115
18-09-2019,452.752319,1721.970581,759.831177,1182.53479
19-09-2019,446.237152,1706.484863,751.453247,1156.396729
20-09-2019,457.342529,1854.281494,737.078003,1230.25
23-09-2019,443.127716,1920.177856,699.857788,1215.391113
24-09-2019,444.460327,1930.250732,727.051819,1254.132202
25-09-2019,429.011597,1931.239136,725.770081,1254.96582
26-09-2019,432.812073,1915.141724,716.522217,1271.884277
27-09-2019,433.749847,1893.019287,716.201782,1283.898926
30-09-2019,420.028595,1865.766235,737.673096,1306.65332
01-10-2019,407.343842,1873.626953,726.593994,1279.828735
03-10-2019,412.723755,1847.032959,719.314819,1285.860718
04-10-2019,412.970551,1830.229248,726.502563,1282.967163
07-10-2019,403.000397,1826.322632,722.931458,1284.928955
09-10-2019,417.90625,1833.806519,717.529419,1299.297363
10-10-2019,416.721649,1853.339966,716.97998,1336.567139
11-10-2019,435.674774,1887.135742,746.051025,1326.612183
14-10-2019,435.23056,1896.172852,719.772644,1331.908447
15-10-2019,440.807892,1943.382813,703.474487,1337.94043
16-10-2019,441.054657,1949.595947,706.358826,1345.982788
17-10-2019,440.561096,1980.520386,704.573242,1369.668823
18-10-2019,438.438782,1983.344604,703.0625,1389.137451
22-10-2019,448.063416,2002.642578,595.454163,1386.979736
23-10-2019,448.408905,2018.63501,609.554688,1365.647461
24-10-2019,441.104065,2018.729492,595.266785,1408.851196
25-10-2019,453.93689,2029.848633,597.234314,1403.702026
27-10-2019,455.121429,2024.786011,607.9151,1406.693481
29-10-2019,466.967163,2044.136597,609.601563,1438.863403
30-10-2019,459.02066,2052.842529,618.923767,1450.681763
31-10-2019,460.846893,2058.4729,642.346558,1436.215088
01-11-2019,463.166656,2062.258057,644.501587,1428.908325
04-11-2019,462.278229,2042.196777,664.270325,1429.643921
05-11-2019,461.834045,2055.44458,652.184204,1419.492798
06-11-2019,474.66687,2062.352295,667.362122,1407.331055
07-11-2019,465.782593,2023.366089,674.670044,1430.575806
08-11-2019,456.552795,1974.30188,663.473999,1417.727417
11-11-2019,449.00119,1969.523315,659.960571,1400.367432
13-11-2019,442.140533,1978.654541,647.733887,1444.012451
14-11-2019,445.595551,1957.884277,660.803711,1434.645996
15-11-2019,457.293182,1947.144165,659.492065,1442.590332
18-11-2019,454.677246,1945.724487,660.710083,1431.164063
19-11-2019,466.029388,1928.265747,667.877502,1480.743042
20-11-2019,476.394379,1917.620239,668.018005,1517.914673
21-11-2019,479.25705,1938.580078,668.252197,1508.057861
22-11-2019,472.692596,1919.370728,649.467163,1516.786865
25-11-2019,477.282776,1951.591187,654.057983,1531.547729
26-11-2019,472.396423,1947.759033,647.031128,1530.272705
27-11-2019,461.982086,1980.783813,651.856262,1539.688232
28-11-2019,462.327606,1975.011719,657.571411,1549.937378
29-11-2019,460.698792,1925.94751,652.418335,1521.347534
02-12-2019,458.033539,1933.422852,648.998718,1556.018311
03-12-2019,458.280304,1919.465454,654.292175,1548.564453
04-12-2019,463.95636,1937.965088,664.129761,1522.867676
05-12-2019,455.664398,1927.981812,669.751282,1521.053223
06-12-2019,449.593506,1917.19458,669.985413,1525.025513
09-12-2019,442.140533,1900.256226,671.999817,1542.385254
10-12-2019,447.224304,1916.531982,669.470215,1531.940063
11-12-2019,444.164215,1902.432617,675.560181,1532.38147
12-12-2019,455.121429,1899.499268,657.805664,1538.069824
13-12-2019,455.318878,1898.410889,666.425232,1552.487427
16-12-2019,452.357452,1868.650757,668.954895,1536.500732
17-12-2019,457.984161,1855.970703,683.664429,1532.675537
18-12-2019,461.784668,1824.932861,686.240967,1545.572876
19-12-2019,461.58725,1846.27124,684.741821,1579.017822
20-12-2019,459.761017,1838.701172,685.397705,1568.376099
23-12-2019,461.834045,1845.608765,689.566956,1541.208374
24-12-2019,472.544525,1841.823975,687.131042,1516.737793
26-12-2019,468.052979,1840.451538,682.961792,1486.284424
27-12-2019,474.913635,1845.135864,690.457092,1512.716553
30-12-2019,473.778442,1833.165527,686.662598,1514.531006
31-12-2019,472.050934,1819.681152,685.02301,1484.960327
01-01-2020,469.780487,1832.503052,690.363281,1480.595825
02-01-2020,467.411377,1833.922485,688.34906,1505.802124
03-01-2020,463.907013,1823.891968,698.936096,1507.616577
06-01-2020,460.748138,1812.536743,692.237122,1472.651367
07-01-2020,462.574402,1817.504761,681.977966,1495.307617
08-01-2020,458.773865,1825.689941,672.889954,1484.077637
09-01-2020,464.055084,1831.083496,681.650146,1518.257935
10-01-2020,467.411377,1849.015503,691.58136,1517.914673
13-01-2020,471.507996,1887.670654,724.748047,1514.040649
14-01-2020,478.023132,1900.871216,726.715515,1500.015381
15-01-2020,477.776367,1913.030762,719.126526,1494.571899
16-01-2020,474.074554,1939.147949,718.611267,1508.352051
17-01-2020,474.123901,1949.60437,719.407593,1550.624023
20-01-2020,473.97583,1952.017212,719.969727,1502.908813
21-01-2020,467.312653,1944.967407,714.395203,1504.429077
22-01-2020,465.535797,1941.466309,721.609375,1503.889526
23-01-2020,459.168732,1946.386963,734.866577,1497.514526
24-01-2020,452.949768,1962.28418,733.367615,1492.316284
27-01-2020,458.477753,1950.5979,729.010925,1477.604492
28-01-2020,458.724518,1949.888184,728.917236,1443.473022
29-01-2020,455.615021,1962.757446,739.87915,1451.41748
30-01-2020,445.200684,1947.522583,731.446899,1416.010986
31-01-2020,441.153412,1924.953857,726.996582,1384.52771
03-02-2020,438.833618,2061.87915,718.985962,1358.880127
04-02-2020,442.683502,2039.783936,738.145752,1398.994263
05-02-2020,441.795013,2044.231445,735.054077,1420.669678
06-02-2020,433.996643,2040.541382,722.686829,1429.791138
07-02-2020,437.501007,2043.900146,728.261414,1406.10498
10-02-2020,439.031067,2043.285156,724.420105,1408.017578
11-02-2020,444.805847,2036.992676,724.748047,1424.838013
12-02-2020,441.054657,2138.906006,731.77478,1442.050903
13-02-2020,437.698395,2160.717529,742.268311,1445.827026
14-02-2020,441.35083,2133.890869,736.834167,1459.018433
