,Date,Open,High,Low,Close,Adj Close,Volume,Name
489,2020-03-27,665.05,674.9,642.25,652.7,611.52,13495283,INFOSYS
490,2020-03-30,625.1,663.5,621.1,626.7,587.16,14624804,INFOSYS
491,2020-03-31,650.0,662.0,633.7,641.5,601.03,15175521,INFOSYS
492,2020-04-01,634.35,637.5,594.0,602.8,564.77,13083824,INFOSYS
493,2020-04-03,603.5,606.0,582.15,585.7,548.75,10221655,INFOSYS
494,2020-04-07,615.0,644.25,612.9,639.0,598.69,15145605,INFOSYS
495,2020-04-08,630.0,655.65,626.35,631.6,591.75,11806896,INFOSYS
496,2020-04-09,646.8,652.8,632.1,636.25,596.11,11931114,INFOSYS
497,2020-04-13,629.0,651.7,626.05,637.4,597.19,8330276,INFOSYS
498,2020-04-15,651.4,653.3,635.6,639.05,598.73,11963447,INFOSYS
499,2020-04-16,619.95,634.9,603.5,623.85,584.49,17783287,INFOSYS
500,2020-04-17,644.0,646.0,626.0,628.75,589.08,8878320,INFOSYS
501,2020-04-20,640.0,661.0,639.0,653.3,612.08,13322913,INFOSYS
502,2020-04-21,627.8,646.5,627.8,633.2,593.25,11660575,INFOSYS
503,2020-04-22,633.2,645.0,628.05,641.85,601.36,8266728,INFOSYS
504,2020-04-23,647.05,683.65,638.1,679.3,636.44,14451289,INFOSYS
505,2020-04-24,668.55,675.0,654.8,658.0,616.49,7319940,INFOSYS
506,2020-04-27,661.05,681.0,661.05,664.6,622.67,7183306,INFOSYS
507,2020-04-28,673.0,677.0,653.05,660.7,619.02,7296571,INFOSYS
508,2020-04-29,666.0,682.0,658.0,676.55,633.87,8639056,INFOSYS
509,2020-04-30,700.0,720.0,698.1,715.5,670.36,16253821,INFOSYS
510,2020-05-04,689.8,701.2,670.35,673.7,631.2,9122740,INFOSYS
511,2020-05-05,681.75,685.6,670.0,673.7,631.2,6393053,INFOSYS
512,2020-05-06,676.9,681.45,664.05,665.9,623.89,7934250,INFOSYS
513,2020-05-07,665.55,674.35,662.45,664.95,623.0,4779548,INFOSYS
514,2020-05-08,672.25,680.9,668.5,674.2,631.67,8400321,INFOSYS
515,2020-05-11,682.5,698.55,678.0,682.9,639.82,7370186,INFOSYS
516,2020-05-12,678.5,691.0,675.5,687.65,644.27,7356039,INFOSYS
517,2020-05-13,694.8,699.9,683.75,694.15,650.36,8287101,INFOSYS
518,2020-05-14,659.0,671.75,652.6,658.15,616.63,16888262,INFOSYS
519,2020-05-15,664.8,664.8,646.7,652.3,611.15,9255353,INFOSYS
520,2020-05-18,659.85,670.55,653.0,663.9,622.02,10435442,INFOSYS
521,2020-05-19,664.0,674.8,655.0,668.6,626.42,5902208,INFOSYS
522,2020-05-20,668.5,673.0,659.65,669.55,627.31,5794636,INFOSYS
523,2020-05-21,666.5,679.45,665.4,672.2,629.79,7213225,INFOSYS
524,2020-05-22,675.0,695.85,673.5,692.35,648.67,11867731,INFOSYS
525,2020-05-26,693.0,699.45,679.0,680.55,637.62,7099606,INFOSYS
526,2020-05-27,686.05,709.2,675.0,705.45,660.94,8774636,INFOSYS
527,2020-05-28,707.0,710.0,690.0,707.4,662.77,9440091,INFOSYS
528,2020-05-29,692.5,700.8,674.95,691.0,656.22,28290128,INFOSYS
529,2020-06-01,698.75,706.65,691.5,699.55,664.34,12276438,INFOSYS
530,2020-06-02,700.5,711.65,697.55,708.1,672.46,7059304,INFOSYS
531,2020-06-03,710.7,711.9,696.0,701.55,666.24,11378568,INFOSYS
532,2020-06-04,702.0,709.45,697.5,707.75,672.13,10782424,INFOSYS
533,2020-06-05,707.0,711.7,700.6,703.55,668.14,7718679,INFOSYS
534,2020-06-08,707.65,725.8,704.0,720.85,684.57,10719105,INFOSYS
535,2020-06-09,720.0,729.6,715.05,717.6,681.48,10078029,INFOSYS
536,2020-06-10,715.0,719.45,709.2,715.85,679.82,7263049,INFOSYS
537,2020-06-11,712.0,713.4,700.25,703.95,668.52,8825715,INFOSYS
538,2020-06-12,675.8,695.15,675.5,692.05,657.22,9795316,INFOSYS
539,2020-06-15,693.0,704.4,685.25,687.55,652.94,7857344,INFOSYS
540,2020-06-16,702.0,712.0,699.15,701.2,665.91,10131760,INFOSYS
541,2020-06-17,699.9,710.3,698.0,703.65,668.23,7291916,INFOSYS
542,2020-06-18,708.2,716.6,706.0,713.9,677.97,6670195,INFOSYS
543,2020-06-19,709.0,711.9,701.0,705.55,670.04,22438862,INFOSYS
544,2020-06-22,707.1,708.7,700.0,703.7,668.28,7804096,INFOSYS
545,2020-06-23,695.7,724.5,692.1,720.65,684.38,12157390,INFOSYS
546,2020-06-24,716.9,726.8,709.4,714.15,678.2,10220838,INFOSYS
547,2020-06-25,704.85,705.6,693.5,700.5,665.24,14945284,INFOSYS
548,2020-06-26,710.2,751.6,710.0,748.2,710.54,26030458,INFOSYS
549,2020-06-29,735.4,744.7,730.1,731.75,694.92,8954428,INFOSYS
550,2020-06-30,732.8,738.95,724.25,735.95,698.91,10411290,INFOSYS
551,2020-07-01,737.25,742.3,729.75,731.9,695.06,5477468,INFOSYS
552,2020-07-02,737.35,765.45,735.4,756.6,718.52,17263756,INFOSYS
553,2020-07-03,755.0,764.0,752.5,762.7,724.31,7796572,INFOSYS
554,2020-07-06,765.2,775.0,761.5,764.0,725.54,8810958,INFOSYS
555,2020-07-07,769.4,796.95,765.55,794.15,754.18,19362533,INFOSYS
556,2020-07-08,784.9,784.9,772.2,774.7,735.71,8476642,INFOSYS
557,2020-07-09,780.0,790.0,775.0,781.7,742.35,6854166,INFOSYS
558,2020-07-10,773.5,789.9,773.5,781.85,742.5,5206452,INFOSYS
559,2020-07-13,788.0,805.35,786.05,797.05,756.93,10804688,INFOSYS
560,2020-07-14,792.95,806.4,781.35,783.25,743.83,8961822,INFOSYS
561,2020-07-15,799.0,848.45,794.8,830.95,789.12,30060599,INFOSYS
562,2020-07-16,900.1,955.5,894.25,911.0,865.14,90432109,INFOSYS
